names,sentence,tags
['Himalaya'],The Himalaya in Asia formed from one such massive wreck that started about 55 million years ago.,"['O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Himalaya'],Thirty of the world’s highest mountains are in the Himalaya.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
['Mount Everest'],"The summit of Mount Everest, at 29,035 feet (8,850 metres), is the highest point on Earth.","['O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mauna Kea'],"The tallest mountain measured from top to bottom is Mauna Kea, an inactive volcano on the island of Hawaii in the Pacific Ocean.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mauna Kea'],"Measured from the base, Mauna Kea stands 33,474 feet (10,203 metres) tall, though it only rises 13,796 feet (4,205 metres) above the sea.","['O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mount St. Helens', 'Mount Fuji']",Well-known volcanoes on land include Mount St. Helens in Washington State and Mount Fuji in Japan.,"['O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O']"
['Mount St. Helens'],"Sometimes volcanic eruptions break down mountains instead of building them up, like the 1980 eruption that blew the top off Mount St. Helens.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O']"
"['Black Hills', 'Adirondack Mountains']",Examples include the Black Hills of South Dakota and the Adirondack Mountains of New York.,"['O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O']"
"['Sierra Nevada', 'Tetons', 'Harz Mountains']","Examples of fault-block mountains include the Sierra Nevada in California and Nevada, the Tetons in Wyoming, and the Harz Mountains in Germany.","['O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O']"
"['Appalachians', 'Himalayas']","The Appalachians, stretching along North America’s east coast, are generally low-lying, gentle slopes. Millions of years ago, the Appalachians were taller than the Himalayas!","['O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
"['Appalachians', 'Everest']","Today, some of the highest peaks of the Appalachians are less than a third of the height of Everest.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
"['Appalachians', 'Central Pangean Mountains']",The Appalachians are just one remnant of the Central Pangean Mountains.,"['O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O']"
"['Scottish Highlands', 'Little Atlas Mountains', 'Central Pangean Mountains']",They are related to the gentle fold mountains of the Scottish Highlands (Eurasia) and the Little Atlas Mountains in Morocco (Africa)—their orogenic sisters from the Central Pangean Mountains.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O']"
[],Some mountains form when the big slabs of rock—called tectonic plates—that make up the Earth’s crust crash into each other.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],"Over millions of years, the sheets of rock push up and over one another, creating the mountain.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],Others form when vents in the Earth’s surface erupt and spew lava out onto the ground.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],"The lava piles up and cools. Over millions of years, the many layers of hard lava become a mountain.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],Mountains are on every continent.,"['O', 'O', 'O', 'O', 'O', 'O']"
[],"The longest mountain range is over 40,000 miles long—and 90 percent is under the ocean!","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mid-Ocean Ridge'],"Called the Mid-Ocean Ridge, it wraps around the globe like the seams of a baseball.","['O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Andes'],The longest aboveground mountain range is the Andes.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
[],"Running along the entire west coast of South America through seven different countries—including Argentina, Chile, and Colombia—it’s 4,700 miles long.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mount Everest'],"Mount Everest, on the border of Nepal and China in Asia, is the highest mountain above sea level in the world.","['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],"Towering at just over 29,000 feet it would take almost 5,000 grown men stacked on top of each other to reach that high.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],"Mountains often have extreme climates, and the animals that live there have some amazing adaptations.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Himalaya'],"For instance, the red panda in Asia’s Himalaya grows a thick coat.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O']"
[],"Living in the mountains of North America, snowshoe hares have snow-white coats that help them hide from mountain lions and other predators.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],Grizzly bears and hoary marmots living in the mountains of North America survive the cold winters by hibernating—hiding out in dens and resting—to conserve energy when food is hard to find.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],"When grizzly bears hibernate, their body temperature drops by about 12 degrees, and they take a breath only once about every 45 seconds.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[""Europe's Alps""]","Other animals, like mountain goats and ibexes living in Europe's Alps, migrate to lower, warmer elevations during the winter.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],These animals have tough but flexible hooves to steady themselves when climbing up and down the rocky terrain looking for food.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[],"Just like these animals, you can also have fun on a mountain—you’ll just need to figure out how to hike without hooves!","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mount Everest', 'Tibet']",There’s no customs booth on the summit of Mount Everest – the highest mountain on Earth – where a frontier straddles Nepal and Tibet.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
"['Sagarmatha', 'Chomolungma', 'Everest']","Nepalis call their famous hill Sagarmatha (“Sky Head”), Tibetans know it as Chomolungma (“Mother of the World”), while geologists lump Everest (named after legendary 19th-century British land surveyor George Everest) in the youth category.","['O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mount McKinley', 'Himalayan']","North America’s highest peak (formerly named Mount McKinley) may max out at an elevation barely above Himalayan low camps, but never mind all that.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mount Denali'],"Few bits of tectonically bent granite are as impossibly enormous as Mount Denali, which rears nearly three-and-a-half vertical miles up above its relatively low 2,000-foot starting point.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Everest'],"From base to summit, that’s over a mile taller than Everest.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
['Alaska Range'],The crown of the 600-mile-long Alaska Range is big enough to create its own weather patterns.,"['O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mount Denali'],Scientists say Mount Denali is still on the rise – at a steady-ish rate of about half a millimeter per year.,"['O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Kilimanjaro'],"Probably just by being Kilimanjaro – the world’s tallest freestanding peak, a dormant (but still simmering) volcano, and a not-so-microcosmic world unto itself.","['O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Kilimanjaro'],"A non-technical “walk up” climb with several established routes to choose from, Kilimanjaro is far too susceptible to being minimized as a multi-day hike.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Caucasus Mountains', 'Mount Elbrus', 'Mont Blanc', 'alps']","Perched on the European side of the Caucasus Mountains – which forms a continental divide with Asia – twin-peaked Mount Elbrus edges out Mont Blanc (see below) and all those glitzier alps to the west by at least a half-mile of perma-frosted vertical, making it Europe’s (and Russia’s) highest hill.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Elbrus west peak', 'Standard Route']","During summer climbing season, the most popular passage to the summit of Elbrus west peak (the higher of the two) is along the Standard Route via the mountain’s south face, where a cable car can take climbers as high as 12,500 feet.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mount Aconcagua'],Mount Aconcagua was in an earlier life an active volcano on the edge of a shallow dinosaur-era sea.,"['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Altai Mountains'],"In Mongolia, it’s easy for a traveler to be quickly swept away by the endless green steppes, the heartiness of the Kazakh nomads, and the rolling landscapes that define the Altai Mountains.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O']"
['Uhuru'],"The highest peak, Uhuru, is 19,340 feet high.","['O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O']"
['Matterhorn'],"Nestled in the Swiss Alps, the Matterhorn is the most recognized mountain on the European continent.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mount Denali'],"Mount Denali, located in Denali National Park, Alaska, is the highest mountain in North America at 20,320 feet.","['B-mount', 'I-mount', 'O', 'O', 'O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mount Denali'],Mount Denali’s tremendous size and beauty create a magnetism that continually draws climbers from around the world.,"['B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Himalaya'],The Himalaya in Asia formed from one such massive wreck that started about 55 million years ago.,"['O', 'B-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Himalaya'],Thirty of the world’s highest mountains are in the Himalaya.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'O']"
['Mount Everest'],"The summit of Mount Everest, at 29,035 feet (8,850 metres), is the highest point on Earth.","['O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Mauna Kea'],"The tallest mountain measured from top to bottom is Mauna Kea, an inactive volcano on the island of Hawaii in the Pacific Ocean.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-mount', 'I-mount', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
